Date,School,Meal_Type,Rank,Recommended_Dish,Predicted_Score
2025-05-01,Colin Powell Elementary,Breakfast,3,Orange Tangerine Juice,0.020380538519898874
2025-05-01,Colin Powell Elementary,Lunch,1,Chickpeas,0.26466258816490984
2025-05-01,Colin Powell Elementary,Lunch,2,1% White Milk,0.11219792454968375
2025-05-01,Colin Powell Elementary,Lunch,3,Orange Tangerine Juice,0.07073752270956797
2025-05-01,Columbia Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.11282651664233853
2025-05-01,Columbia Elementary,Breakfast,2,1% White Milk,0.0895065089271796
2025-05-01,Columbia Elementary,Breakfast,3,Banana,0.06261815198252624
2025-05-01,Columbia Elementary,Lunch,1,Doritos Wild White Nacho Flavored Tortilla Chips,0.1526249547011013
2025-05-01,Columbia Elementary,Lunch,2,Italian Dressing,0.11416117229949772
2025-05-01,Columbia Elementary,Lunch,3,1% White Milk,0.10627707579865797
2025-05-01,Colvin Run Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.2546788305477303
2025-05-01,Colvin Run Elementary,Breakfast,2,1% White Milk,0.09392565150552573
2025-05-01,Colvin Run Elementary,Breakfast,3,Red Delicious Apple,0.039120799437642226
2025-05-01,Colvin Run Elementary,Lunch,1,Chickpeas,0.3355002984449107
2025-05-01,Colvin Run Elementary,Lunch,2,Doritos Wild White Nacho Flavored Tortilla Chips,0.1526249547011013
2025-05-01,Colvin Run Elementary,Lunch,3,1% White Milk,0.1146803633131294
2025-05-01,Cooper Middle,Breakfast,1,Egg and American Cheese on Biscuit,0.16427286699126203
2025-05-01,Cooper Middle,Breakfast,2,Banana,0.05508023048011632
2025-05-01,Cooper Middle,Breakfast,3,"Batter, Pumpkin Bread",0.04664555939272348
2025-05-01,Cooper Middle,Lunch,1,Spicy Chicken Wrap,0.24647808309902053
2025-05-01,Cooper Middle,Lunch,2,Orange Sauce,0.16434104947512315
2025-05-01,Cooper Middle,Lunch,3,Italian Dressing,0.07238710388378626
2025-05-01,Crestwood Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.12225209784849554
2025-05-01,Crestwood Elementary,Breakfast,2,Orange,0.024406238681895162
2025-05-01,Crestwood Elementary,Breakfast,3,Strawberry Parfait,0.024108062520477754
2025-05-01,Crestwood Elementary,Lunch,1,Chickpeas,0.25191839009239503
2025-05-01,Crestwood Elementary,Lunch,2,Doritos Wild White Nacho Flavored Tortilla Chips,0.13911376708175077
2025-05-01,Crestwood Elementary,Lunch,3,Orange Tangerine Juice,0.07090618271414997
2025-05-01,Crossfield Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.4066942568005497
2025-05-01,Crossfield Elementary,Breakfast,2,Strawberry Parfait,0.12450800759377104
2025-05-01,Crossfield Elementary,Breakfast,3,1% White Milk,0.08894707644283617
2025-05-01,Crossfield Elementary,Lunch,1,Chickpeas,0.2706836901644813
2025-05-01,Crossfield Elementary,Lunch,2,1% White Milk,0.10717351696963376
2025-05-01,Crossfield Elementary,Lunch,3,Asian Meatball Sub,0.057609112689965686
2025-05-01,Cub Run Elementary,Breakfast,1,Banana,0.05536271149210705
2025-05-01,Cub Run Elementary,Breakfast,2,Red Delicious Apple,0.03878974288842448
2025-05-01,Cub Run Elementary,Breakfast,3,Strawberry Parfait,0.03080578262562491
2025-05-01,Cub Run Elementary,Lunch,1,Chickpeas,0.24834164426763974
2025-05-01,Cub Run Elementary,Lunch,2,Doritos Wild White Nacho Flavored Tortilla Chips,0.11263576703584477
2025-05-01,Cub Run Elementary,Lunch,3,Italian Dressing,0.07870371645703181
2025-05-01,Cunningham Park Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.16155955039681946
2025-05-01,Cunningham Park Elementary,Breakfast,2,1% White Milk,0.07746100786104917
2025-05-01,Cunningham Park Elementary,Breakfast,3,Applesauce,0.030609308886254235
2025-05-01,Cunningham Park Elementary,Lunch,1,Chickpeas,0.31799593723302766
2025-05-01,Cunningham Park Elementary,Lunch,2,1% White Milk,0.07932324461605537
2025-05-01,Cunningham Park Elementary,Lunch,3,Italian Dressing,0.07868297932356454
2025-05-01,Daniels Run Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.14576786645669243
2025-05-01,Daniels Run Elementary,Breakfast,2,1% White Milk,0.07134895409519237
2025-05-01,Daniels Run Elementary,Breakfast,3,Orange,0.043860687243473334
2025-05-01,Daniels Run Elementary,Lunch,1,Chickpeas,0.24135787734321676
2025-05-01,Daniels Run Elementary,Lunch,2,Doritos Wild White Nacho Flavored Tortilla Chips,0.1526249547011013
2025-05-01,Daniels Run Elementary,Lunch,3,1% White Milk,0.12270210770413374
2025-05-01,Deer Park Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.2305456322969781
2025-05-01,Deer Park Elementary,Breakfast,2,1% White Milk,0.07280583534312787
2025-05-01,Deer Park Elementary,Breakfast,3,Orange,0.040117974064799944
2025-05-01,Deer Park Elementary,Lunch,1,Chickpeas,0.25375009936764104
2025-05-01,Deer Park Elementary,Lunch,2,Italian Dressing,0.15725479018141586
2025-05-01,Deer Park Elementary,Lunch,3,Doritos Wild White Nacho Flavored Tortilla Chips,0.14521954957790564
2025-05-01,Dogwood Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.9602772345601096
2025-05-01,Dogwood Elementary,Breakfast,2,Red Delicious Apple,0.0357568752721715
2025-05-01,Dogwood Elementary,Breakfast,3,Orange Tangerine Juice,0.0171322926462223
2025-05-01,Dogwood Elementary,Lunch,1,Chickpeas,0.09869646971238943
2025-05-01,Dogwood Elementary,Lunch,2,Italian Dressing,0.07004490848470592
2025-05-01,Dogwood Elementary,Lunch,3,Strawberry & Banana Yogurt Power Pack,0.045807720723845376
2025-05-01,Dranesville Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.11473149480999298
2025-05-01,Dranesville Elementary,Breakfast,2,1% White Milk,0.06072223601860486
2025-05-01,Dranesville Elementary,Breakfast,3,Red Delicious Apple,0.03539519270836208
2025-05-01,Dranesville Elementary,Lunch,1,Chickpeas,0.24142775007038278
2025-05-01,Dranesville Elementary,Lunch,2,1% White Milk,0.10456086287510334
2025-05-01,Dranesville Elementary,Lunch,3,Italian Dressing,0.09627496584129
2025-05-01,Eagle View Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.09416831608366819
2025-05-01,Eagle View Elementary,Breakfast,2,Red Delicious Apple,0.03876646319857646
2025-05-01,Eagle View Elementary,Breakfast,3,Orange Tangerine Juice,0.020133636304710874
2025-05-01,Eagle View Elementary,Lunch,1,Doritos Wild White Nacho Flavored Tortilla Chips,0.1526249547011013
2025-05-01,Eagle View Elementary,Lunch,2,Italian Dressing,0.10273630985409966
2025-05-01,Eagle View Elementary,Lunch,3,Fat Free White Milk,0.051029366360689825
2025-05-01,Edison High,Breakfast,1,1% White Milk,0.08730164019114173
2025-05-01,Edison High,Breakfast,2,Egg and American Cheese on Biscuit,0.060220369963457504
2025-05-01,Edison High,Breakfast,3,Banana,0.05628079075531994
2025-05-01,Edison High,Lunch,1,Chickpeas,0.29298489461141014
2025-05-01,Edison High,Lunch,2,Cooked  Brown Rice,0.11905815511388776
